destination_port,payload_len,description,label
53,244,Normal background traffic,BENIGN
53,122,Normal background traffic,BENIGN
7680,168,Normal background traffic,BENIGN
443,52,Normal background traffic,BENIGN
443,377,Normal background traffic,BENIGN
7680,427,Normal background traffic,BENIGN
7680,281,Normal background traffic,BENIGN
9993,246,Normal background traffic,BENIGN
53,248,Normal background traffic,BENIGN
53,247,Normal background traffic,BENIGN
53,346,Normal background traffic,BENIGN
53,465,Normal background traffic,BENIGN
7680,482,Normal background traffic,BENIGN
80,324,Normal background traffic,BENIGN
7680,326,Normal background traffic,BENIGN
7680,369,Normal background traffic,BENIGN
80,215,Normal background traffic,BENIGN
53,400,Normal background traffic,BENIGN
7680,89,Normal background traffic,BENIGN
80,492,Normal background traffic,BENIGN
7680,46,Normal background traffic,BENIGN
53,52,Normal background traffic,BENIGN
53,140,Normal background traffic,BENIGN
53,480,Normal background traffic,BENIGN
7680,231,Normal background traffic,BENIGN
443,235,Normal background traffic,BENIGN
53,281,Normal background traffic,BENIGN
53,196,Normal background traffic,BENIGN
80,276,Normal background traffic,BENIGN
53,456,Normal background traffic,BENIGN
7680,287,Normal background traffic,BENIGN
80,93,Normal background traffic,BENIGN
443,293,Normal background traffic,BENIGN
9993,429,Normal background traffic,BENIGN
53,73,Normal background traffic,BENIGN
9993,406,Normal background traffic,BENIGN
53,306,Normal background traffic,BENIGN
80,29,Normal background traffic,BENIGN
7680,275,Normal background traffic,BENIGN
80,405,Normal background traffic,BENIGN
7680,235,Normal background traffic,BENIGN
443,435,Normal background traffic,BENIGN
80,304,Normal background traffic,BENIGN
7680,191,Normal background traffic,BENIGN
9993,272,Normal background traffic,BENIGN
9993,440,Normal background traffic,BENIGN
7680,20,Normal background traffic,BENIGN
443,103,Normal background traffic,BENIGN
80,50,Normal background traffic,BENIGN
53,498,Normal background traffic,BENIGN
80,40,Normal background traffic,BENIGN
9993,192,Normal background traffic,BENIGN
7680,264,Normal background traffic,BENIGN
80,481,Normal background traffic,BENIGN
9993,384,Normal background traffic,BENIGN
443,108,Normal background traffic,BENIGN
7680,399,Normal background traffic,BENIGN
9993,164,Normal background traffic,BENIGN
443,324,Normal background traffic,BENIGN
443,27,Normal background traffic,BENIGN
443,99,Normal background traffic,BENIGN
53,105,Normal background traffic,BENIGN
443,397,Normal background traffic,BENIGN
9993,147,Normal background traffic,BENIGN
53,439,Normal background traffic,BENIGN
7680,436,Normal background traffic,BENIGN
53,471,Normal background traffic,BENIGN
80,177,Normal background traffic,BENIGN
80,272,Normal background traffic,BENIGN
